Name,Listing Date,Issue Price,Listing Price,LTP,Returns from issue price
Micropro Software Solutions Ltd,10-Nov-23,81,80,29.15,-64.01
Mish Designs Ltd,07-Nov-23,122,160,116,-4.92
Maitreya Medicare Ltd,07-Nov-23,82,162.55,282.25,244.21
Honasa Consumer Ltd,07-Nov-23,324,324,223.79,-30.93
KK Shah Hospitals Ltd,06-Nov-23,45,56.1,43,-4.44
Transteel Seating Technologies Ltd,06-Nov-23,70,88.9,100.5,43.57
Cello World Ltd,06-Nov-23,648,831,599.05,-7.55
Vrundavan Plantation Ltd,06-Nov-23,108,107,56,-48.15
Shanthala FMCG Products Ltd,03-Nov-23,91,108,29.2,-67.91
Paragon Fine and Speciality Chemical Ltd,03-Nov-23,100,225,71.85,-28.15
Blue Jet Healthcare Ltd,01-Nov-23,346,359.9,749.55,116.63
On Door Concepts Ltd,01-Nov-23,208,214,212.1,1.97
Rajgor Castor Derivatives Ltd,31-Oct-23,50,59,22.65,-54.7
Womancart Ltd,27-Oct-23,86,117,350,306.98
IRM Energy Ltd,26-Oct-23,505,479,275.75,-45.4
Arvind Port & Infra Ltd,25-Oct-23,45,80,58,28.89
Committed Cargo Care Ltd,18-Oct-23,77,82,213.1,176.75
Plada Infotech Services Ltd,13-Oct-23,48,59,23.35,-51.35
Vivaa Tradecom Ltd,12-Oct-23,51,40.8,40,-21.57
Karnika Industries Ltd,12-Oct-23,76,81,419.3,451.71
Sharp Chucks and Machines Ltd,12-Oct-23,58,66,100.95,74.05
Plaza Wires Ltd,12-Oct-23,54,84,63.07,16.8
Sunita Tools Ltd,11-Oct-23,145,155,808,457.24
Canarys Automations Ltd,11-Oct-23,31,43.45,28.2,-9.03
Goyal Salt Ltd,11-Oct-23,38,130,172,352.63
OneClick Logistics India Ltd,11-Oct-23,99,140,125.35,26.62
City Crops Agro Ltd,10-Oct-23,25,25.5,24.65,-1.4
Kontor Space Ltd,10-Oct-23,93,122,85.55,-8.01
Vishnusurya Projects and Infra Ltd,10-Oct-23,68,73,216,217.65
Arabian Petroleum Ltd,09-Oct-23,70,77.4,72.85,4.07
E Factor Experiences Ltd,09-Oct-23,75,115,189,152
